"id"	"author"	"title"	"subtitle"	"year"	"translator"	"publisher"	"published_location"	"edition"	"comment"	"Alter Link im Kommentar?"	"Online-Ausgabe"	"Kommentar JH"																																																																																	
"7760"	"Friedrich, Preußen, König, II."	"Friedrich des Grossen Versuch über Regierungsformen und Regentenpflichten"	"Aus Friedrichs nachgelassenen Werken auf\'s neue aus dem Französischen übersetzt ; Mit Anmerkungen über Magazinirung gegen Theurung und Hungersnoth"	"1850"	"Unbekannt"	"Gall"	"Trier"				"https://www.dilibri.de/ubtr/content/pageview/218665"																																																																																		
"7759"	"Friedrich, Preußen, König, II."	"Versuch ueber die Regierungsformen und ueber die Pflichten der Regenten"	"Herausgegeben und mit einem Vorwort begleitet von Heinrich Kiunka"	"1849"	"Unbekannt"	"Adam"	"Hainichen"																																																																																						
"7758"	"Darlem, Clary de"	"Elisabeth von Oesterreich, Königin von Frankreich"		"1850"	"Schöttlen, Wilhelm"	"Franckh"	"Stuttgart"		"Bd.chen	1-6"		"Band 1-3 http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ206068700"		"Band 4-6 http://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ206068608"																																																																																
"7757"	"Wielopolski, Aleksander"	"Brief eines polnischen Edelmannes an den Fürsten Metternich über die Metzeleien in Galizien"		"1848"	"Unbekannt"	"Verlags-Comptoir"	"Grimma"		"Werk in Bibliotheken nicht nachgewiesen;entnommen aus Fromm (1951-53): Bibliographie deutscher Übersetzungen aus dem Französischen 1700-1948.Bd. VI.S.300 [27337]"		"https://books.google.fr/books?id=FqZbAAAAcAAJ&pg=PP9#v=onepage&q&f=false"																																																																																		
"7756"	"Wielopolski, Aleksander"	"Brief an den Fürsten Metternich geschrieben von einem polnischen Edelmanne über die Metzeleien in Gallizien"		"1848"	"Alvensleben, Ludwig von"	"Lell"	"Wien"				"http://data.onb.ac.at/ABO/%2BZ205938000"																																																																																		
"7755"	"Walsh, Joseph-Alexis"	"Die Schönheit der christlichen Feste"		"1847"	"Vecqueray, J. L."	"Blum"	"Koblenz"																																																																																						
"7754"	"Vulliemin, Louis"	"Der Kanton Waat : historisch-geographisch-statistisch geschildert ; von den ältesten Zeiten bis auf die Gegenwart ; ein Hand- und Hausbuch für Jedermann"		"1847"	"Wehrli-Boisot, G.H."	"Huber"	"St. Gallen"				"http://data.onb.ac.at/ABO/%2BZ257356701"																																																																																		
"7753"	"Vinet, Alexandre Rodolphe"	"Der Sozialismus in seinem Prinzip betrachtet"		"1849"	"Hofmeister, D."	"Dümmler"	"Berlin"				"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10771066-5"																																																																																		
"7752"	"Villeneuve-Bagemont, François Louis de"	"Der hl. Ludwig"		"1848"	"Unbekannt"	"Meline"	"Leipzig"		"Werk in Bibliotheken nicht nachgewiesen; entnommen aus Fromm,H. (1950-53): Bibliographie deutscher Übersetzungen aus dem Französischen. 1700-1748. Band VI. S.243 [26657]."																																																																																				
"7751"	"Villegardelle, François"	"Geschichte der socialen Ideen vor der französischen Revolution, oder: Die alten Denker und Philosophen, die Vorläufer und Vorkämpfer der neueren Socialisten"		"1846"	"Köppen, Ludwig"	"Adolph Rieß"	"Berlin"		"digital. Version: http://ub-goobi-pr2.ub.uni-greifswald.de/viewer/viewImage.xhtml?action=open&iddoc=12812&page=90 [10.02.2011]"	"Alten Link prüfen"	"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10771062-4"	"Alter Link funktioniert nicht mehr"																																																																																	
"7750"	"Vicat, Louis Joseph"	"Praktische Anweisung, den hydraulischen Kalk zu bereiten und denselben bei Wasserbauten aller Art anzuwenden"		"1847"	"Schmidt, C.G."	"Basse"	"Quedlinburg"				"https://digital.ub.tu-berlin.de/view/work/BV041820116/1/"																																																																																		
"7749"	"Vaulabelle, Achille Tenaille de"	"Geschichte der beiden Restaurationen bis zum Sturze Karl\'s X"		"1846"	"Fink, Gottlob"	"Zehnder"	"Baden"		"2 Bd."		"Band 1 http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10424731-5"		"Band 2 http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10424732-0"																																																																																
"7748"	"Valon, Alexis de"	"Ein Jahr im Orient"	"oder Sicilien unter Ferdinand II., Griechenland unter Otto I. und die Türkei unter Abdul-Medschid"	"1847"	"Schöttlen, Wilhelm"	"Franckh"	"Stuttgart"	"2. Ausg. ebd. 1854"	"Bdchn 1-7
digital. Version 2. Ausg.: http://books.google.de/books?id=e9cNAAAAQAAJ&printsec=frontcover&dq=Valon%22Ein+Jahr+im+Orient&source=bl&ots=wqGKIQ11yC&sig=TLGWTN1vh6vSWstpZ-cdSEgmgno&hl=de&ei=mfFLTfTAKKOAhAfGotTwDg&sa=X&oi=book_result&ct=result&resnum=3&ved=0CB8Q6AEwAg#v=onepage&q&f=false [04.02.2011]"	"Alten Link prüfen"	"https://books.google.de/books?id=e9cNAAAAQAAJ&dq=Valon%22Ein%20Jahr%20im%20Orient&hl=de&pg=PP5#v=onepage&q&f=false"																																																																																		
"7747"	"Valentin, François"	"Geschichte der Kreuzzüge"		"1848"	"Della Torre, Robert"	"Lampart"	"Augsburg"	"Regensburg: Manz, 1867, ebd.1892"			"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10759250-6"																																																																																		
"7746"	"Tripier-Deveaux, A.-M."	"Die Kunst der Lackfirniss-Bereitung"		"1846"	"Schmidt, Christian Heinrich"	"Basse"	"Quedlinburg"																																																																																						
"7745"	"Tourneux, Félix"	"Der Maschinenbauer, oder Atlas und Beschreibung der Maschinen-Elemente"		"1846-1848"	"Hartmann, Carl"	"Voigt"	"Weimar"																																																																																						
"7744"	"Thoyer, Jules"	"Die Interessen-oder Discont-Producten-Summe entweder ganz oder zum größten Theile mittelst der Addition zu finden, woraus dann auf bekannte Weise der Discont oder das Interesse herauszuziehen ist. Mit vollzogenen Vorschlägen d. Auguste Cauchy."		"1846"	"Hantschl, Franz"	"Lechner"	"Wien"	"2. Ausg. ebd. 1859"	"in Bibliotheken nicht nachgewiesen; entnommen aus Fromm,H. (1950-53): Bibliographie deutscher Übersetzungen aus dem Französischen. 1700-1748. Band VI. S.127 [25483]."																																																																																				
"7743"	"Srzeniawa-Potocki, Prot"	"Ein Wort zur Vertheidigung des polnischen Volks"		"1846"	"Unbekannt"	"Schreck"	"Leipzig"		"Übersetzung in Bibliotheken nicht nachgewiesen. Entnommen aus 	aus Fromm,H. (1950-53): Bibliographie deutscher Übersetzungen aus dem Französischen. 1700-1748. Band V. S.53 [24651]."																																																																																				
"7742"	"Seylaz, Louis"	"Wanderungen in den Waadtländer Alpen"		"1841"	"Mohr, W."	"Novos"	"Lausanne"																																																																																						
"7741"	"Regnault, Henri Victor"	"Kurzes Lehrbuch der Chemie"		"1851"	"Strecker, Adolph"	"Vieweg und Sohn"	"Braunschweig"				"http://nbn-resolving.de/urn:nbn:de:hbz:061:2-29099"																																																																																		
"7740"	"Regnault, Henri Victor"	"Schule der Chemie nach dem neuesten Standpunkte der Wissenschaft für Universitäten, Academien, Gymnasien, Real- und Gewerbschulen, Handel- und Ackerbaulehranstalten, sowie zur Selbstbelehrung"		"1851"	"Kerndt, Carl H. Th."	"Spamer"	"Leipzig"		"digital. Version: http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10074374-7 [26.01.2011]"	"Alten Link prüfen"	"http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10074374-7"																																																																																		
"7739"	"Raspail, François-Vincent"	"Raspail\'s neues Heilverfahren oder theoretische u. praktische Anweisung zur Selbstbehandlung der meisten heilbaren Krankheiten u. zur Selbstbereitung der einfachen, billigen u. bewährten Heilmittel der neuen Schule"		"1853"	"Unbekannt"	"Bruno Hinze"	"Leipzig"		"digital. Version: http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10474114-4 [26.01.2011]"	"Alten Link prüfen"	"http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10474114-4"																																																																																		
"7738"	"Raspail, François-Vincent"	"Der Selbstarzt oder Doctor und Apotheker im eigenen Hause : eine zuverlässige Anweisung, sich vor Krankheiten zu schützen und durch Selbstbereitung aller Mittel von ihnen zu befreien, auch bei unheilbaren und chronischen Krankheiten sich wenigstens möglichst Erleichterung zu verschaffen"		"1847"	"Unbekannt"	"Michelsen"	"Leipzig"		"Nach der 13. Aufl. übersetzt"			"Ausgabe von 1868: https://books.google.fr/books?id=IX4LAQAAIAAJ&pg=PP7#v=onepage&q&f=false"																																																																																	
"7737"	"Quinet, Edgar"	"Frankreich und die heilige Allianz bei dem letzten Aufstand in Portugal"		"1847"	"Unbekannt"	"Verlags-Comptoir"	"Grimma"																																																																																						
"7736"	"Quinet, Edgar"	"Der Kreuzzug der Oesterreicher, Spanier, Franzosen und Neapolitaner gegen die römische Republik"		"1849"	"Fink, Gottlob"	"Scheitlin & Zollikofer"	"St. Gallen"				"https://books.google.fr/books?id=XtsuAAAAYAAJ&pg=PP1#v=onepage&q&f=false"																																																																																		
"7735"	"Montalembert, Charles Forbes ¬de¬"	"Der hohe und der niedere Radicalismus in seiner Feindseligkeit gegen Religion, Recht, Freiheit und Gesittung in der Schweiz, Frankreich und Italien. in Teutschland mit Rücksicht auf die Gründung der Reichsverfassung"		"1850"	"Ritter, Franz Josef"	"Hurter"	"Schaffhausen"				"https://books.google.fr/books?id=XtsuAAAAYAAJ&pg=PP1#v=onepage&q&f=false"	"PDF: https://sammlungen.ub.uni-frankfurt.de/download/pdf/2188509?name=Der%20hohe%20und%20der%20niedere%20Radicalismus%20in%20seiner%20Feindseligkeit%20gegen%20Religion%20Re"																																																																																	
"7734"	"Montalembert, Charles Forbes ¬de¬"	"Der politische Radikalismus und die Freiheit der Völker"		"1848"	"Unbekannt"	"Reclam"	"Leipzig"																																																																																						
"7733"	"Vidocq, Eugène François"	"Höchst interessante Selbst-Biographie"		"1845"	"Michaelis, J.A."	"Dörner"	"Hamburg"	"2. verb. Aufl. Berlin: Sacco: 1847
3. Aufl. ebd. 1848"																																																																																					
"7732"	"Napoléon III (Charles Louis Napoléon Bonaparte, Napoléon Louis C. Bonaparte)"	"Louis Napoleon Bonaparte, Präsident der französischen Republik : sein politisches, militärisches und Privatleben, sein Character und seine Meinungen ; aus authentischen Nachrichten, Actenstücken und seinen Werken"		"1849"	"Brinckmeier, Eduard"	"Meyer"	"Braunschweig"				"https://books.google.fr/books?id=uBtIAQAAMAAJ&pg=PA1#v=onepage&q&f=false"																																																																																		
"7731"	"Sand, George"	"Ein Sommer im südlichen Europa oder die Insel Mallorca"		"1847"	"Elsner, Heinrich"	"Franckh"	"Stuttgart"		"2 Bd."		"http://data.onb.ac.at/ABO/%2BZ24632904"																																																																																		
"7730"	"Sambucy Saint-Estève, Louis de (Abbé)"	"Die Andacht vom heiligen Scapulier"		"1848"	"Sintzel, Michael"	"Manz"	"Regensburg"																																																																																						
"7729"	"Salvador, Joseph"	"Geschichte der Römerherrschaft in Judaea und der Zerstoerung Jerusalems"		"1847"	"Eichler, Ludwig"	"Schlodtmann"	"Bremen"		"2 Bd."		"Band 1 http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10434029-6"		"Band 2 http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10434030-9"																																																																																
"7728"	"Saint-Jure, Jean-Baptiste"	"Geisteserneuerung im Sinne der heiligen Schrift und Väter für angehende und wirkliche Cleriker"		"1846"	"Unbekannt"	"Münster"	"Regensburg"				"http://nbn-resolving.de/urn:nbn:de:hbz:6:1-68180"	"PDF: https://sammlungen.ulb.uni-muenster.de/hd/download/pdf/1683602?originalFilename=true"																																																																																	
"7727"	"Jourdain, Éloi"	"Das Buch der Völker und der Könige"		"1850"	"Schwan, Wilhelm"	"Junfermann"	"Paderborn"				"http://nbn-resolving.de/urn:nbn:de:hbz:6:1-97968"	"PDF: https://sammlungen.ulb.uni-muenster.de/hd/download/pdf/2470802?originalFilename=true"																																																																																	
"7726"	"Rousselot, Pierre-Joseph"	"Die Wahrheit über das Ereigniß zu Salette am 19. Sept. 1846"	"oder Bericht an der Hrn. Bischof von Grenoble über die Erscheinung der heiligen Jungfrau zweien Hirtenkindern auf dem Berge von Salette, in Frankreich, Canton Corps (Isère)"	"1849"	"Reithmeier, Wolfgang"	"Weiß"	"München"				"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10027286-8"																																																																																		
"7725"	"Rousselot, Pierre-Joseph"	"Die Wahrheit des Ereignisses von LaSalette am 19. Sept. 1846"	"oder Bericht an den Herrn Bischof v. Grenoble über die zweien Hirtenkindern gewordene Erscheinung der lieben hl. Jungfrau auf dem Gebirge von LaSalette"	"1849"	"Del Monte, Maria"	"Hergt"	"Coblenz"																																																																																						
"7724"	"Rousseau, Jean-Jacques"	"Abhandlung über die politische Oekonomie"		"1845"	"Ellissen, Adolf"	"O. Wigand"	"Leipzig"	"2.Aufl. ebd., 1852"																																																																																					
"7723"	"Rousseau, Jean-Jacques"	"Abhandlung über die politische Oekonomie"		"1792"	"Unbekannt"	"Pauli"	"Berlin"				"https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/8592922"																																																																																		
"7722"	"Rollet, Augustin"	"Ueber die Aufbewahrung oder Magazinierung des Getreides und Mehls als sicherstes Staatsmittel, Theuerungen vorzubeugen  nebst vorausgehenden Bemerkungen über die von den Gefahren des Jahres 1846/47 dictirten Sicherungsmittel und besonders auch über den Getreidehandel von Europa"		"1847"	"Schneider, Walther"	"B.F. Voigt"	"Weimar"																																																																																						
"7721"	"Roguet, Christophe-Michel"	"Die Zukunft der europäischen Armeen oder Bekämpfungssystem der Aufstände in großen Städten."		"1850"	"Heilmann, Johann von"	"Goedsche"	"Leipzig & Meißen"		"in Bibliothek en nicht nachgewiesen. Entnommen aus: Fromm (1950-53): ""Bibliographie deutscher Übersetzungen aus dem Französischen 1700-1948"" Band V. S.324.Baden-Baden: Verlag für Künste und Wissenschaft. [22237]"		"http://opacplus.bsb-muenchen.de/title/BV020510745"	"Ausgabe von 1851"																																																																																	
